Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-10-18,663.5,666.3,657.33,666.22,1134700,0.0,0.0
2021-10-19,672.4,687.69,672.29,680.25,1472500,0.0,0.0
2021-10-20,684.23,686.73,671.18,681.11,872400,0.0,0.0
2021-10-21,680.0,687.29,676.87,686.34,649500,0.0,0.0
2021-10-22,686.0,692.97,683.42,686.65,928500,0.0,0.0
2021-10-25,686.65,693.47,684.5,688.85,586100,0.0,0.0
2021-10-26,692.69,693.0,675.55,676.71,1108500,0.0,0.0
2021-10-27,675.7,684.83,663.61,664.76,1500500,0.0,0.0
2021-10-28,671.51,694.0,671.3,687.7,2113300,0.0,0.0
2021-10-29,686.35,698.43,682.15,697.76,1107100,0.0,0.0
2021-11-01,700.0,704.82,676.66,681.98,1163500,0.0,0.0
2021-11-02,685.99,687.5,680.5,686.59,682600,0.0,0.0
2021-11-03,689.1,689.1,672.22,687.67,662500,0.0,0.0
2021-11-04,690.0,707.6,689.14,701.73,833500,0.0,0.0
2021-11-05,702.0,702.74,686.9,692.01,596100,0.0,0.0
2021-11-08,693.72,696.59,689.15,692.28,798100,0.0,0.0
2021-11-09,695.31,697.28,685.6,691.27,499800,0.0,0.0
2021-11-10,686.79,687.93,663.82,670.91,1279800,0.0,0.0
2021-11-11,679.69,681.34,673.89,679.25,1015000,0.0,0.0
2021-11-12,685.0,691.74,681.44,691.4,991700,0.0,0.0
2021-11-15,689.46,689.9,678.71,682.57,812000,0.0,0.0
2021-11-16,684.99,692.56,682.11,692.55,926700,0.0,0.0
2021-11-17,694.33,695.61,683.9,684.93,691500,0.0,0.0
2021-11-18,682.47,684.56,674.14,675.84,751400,0.0,0.0
2021-11-19,680.31,687.26,674.18,675.97,1051300,0.0,0.0
2021-11-22,675.71,683.96,651.36,656.38,1194200,0.0,0.0
2021-11-23,650.0,654.43,627.41,636.91,1844700,0.0,0.0
2021-11-24,629.96,649.42,624.14,649.31,837000,0.0,0.0
2021-11-26,644.52,661.07,644.52,649.55,729500,0.0,0.0
2021-11-29,659.63,676.5,651.11,672.82,1081400,0.0,0.0
2021-11-30,674.63,679.62,642.65,647.7,2146400,0.0,0.0
2021-12-01,650.36,657.96,599.34,599.57,2318100,0.0,0.0
2021-12-02,599.57,625.8,598.64,623.37,1460000,0.0,0.0
2021-12-03,627.69,628.76,593.16,613.11,1854800,0.0,0.0
2021-12-06,601.58,619.66,594.05,616.54,1440300,0.0,0.0
2021-12-07,630.99,668.16,630.0,663.39,1850000,0.0,0.0
2021-12-08,660.0,672.97,651.05,665.81,930200,0.0,0.0
2021-12-09,666.0,669.11,641.25,642.15,1089100,0.0,0.0
2021-12-10,647.19,658.18,640.2,647.0,850300,0.0,0.0
2021-12-13,644.65,661.17,642.67,655.94,999500,0.0,0.0
2021-12-14,642.09,646.9,607.19,624.69,1659700,0.0,0.0
2021-12-15,626.66,648.07,624.58,647.04,1581500,0.0,0.0
2021-12-16,639.39,643.8,606.69,608.98,1588300,0.0,0.0
2021-12-17,596.7,620.65,587.02,615.63,3418700,0.0,0.0
2021-12-20,605.0,614.06,601.22,605.37,996700,0.0,0.0
2021-12-21,612.5,635.34,605.0,631.32,1129100,0.0,0.0
2021-12-22,631.46,648.89,625.6,643.93,1010700,0.0,0.0
2021-12-23,645.96,651.69,641.03,648.57,664700,0.0,0.0
2021-12-27,655.98,664.95,651.97,663.28,680900,0.0,0.0
2021-12-28,667.64,667.64,653.0,654.0,482200,0.0,0.0
2021-12-29,655.18,658.86,646.02,654.58,441800,0.0,0.0
2021-12-30,656.2,663.17,653.84,654.54,490900,0.0,0.0
2021-12-31,652.02,658.59,648.87,649.11,464600,0.0,0.0
2022-01-03,648.16,651.41,625.42,630.14,1043700,0.0,0.0
2022-01-04,628.39,628.82,576.97,603.94,2980600,0.0,0.0
